date,location,eff_population,cases,deaths,death_per_100case,death_per_10Kpeople,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
7/12/2020,California,23566950,327676,7042,2.15,0.000912295,,,,,,,,,,,,,,
7/12/2020,Colorado,3804641,36933,1726,4.67,0.012274483,,,,,,,,,,,,,,
7/12/2020,Connecticut,2344611,47287,4348,9.19,0.039196268,,,,,,,,,,,,,,
7/12/2020,Delaware,630196,12804,517,4.04,0.06410704,,,,,,,,,,,,,,
7/12/2020,District of Columbia,446234,10847,568,5.24,0.117427179,,,,,,,,,,,,,,
7/12/2020,Florida,14094013,269803,4241,1.57,0.001113948,,,,,,,,,,,,,,
7/12/2020,Georgia,6842396,108389,2951,2.72,0.003975216,,,,,,,,,,,,,,
7/12/2020,Guam,107187,1281,6,0.47,0.043848601,,,,,,,,,,,,,,
7/12/2020,Hawaii,865578,1201,19,1.58,0.018253699,,,,,,,,,,,,,,
7/12/2020,Idaho,1172654,10971,102,0.93,0.007930728,,,,,,,,,,,,,,
7/12/2020,Illinois,5587526,155355,7391,4.76,0.008518976,,,,,,,,,,,,,,
7/12/2020,Indiana,4457701,52892,2760,5.22,0.011710072,,,,,,,,,,,,,,
7/12/2020,Iowa,2084684,35410,752,2.12,0.010169407,,,,,,,,,,,,,,
7/12/2020,Kansas,1929097,19295,300,1.55,0.008034847,,,,,,,,,,,,,,
7/12/2020,Kentucky,2597776,19762,649,3.28,0.012626185,,,,,,,,,,,,,,
7/12/2020,Louisiana,3064527,78230,3416,4.37,0.014259949,,,,,,,,,,,,,,
7/12/2020,Maine,839816,3539,114,3.22,0.038341732,,,,,,,,,,,,,,
7/12/2020,Maryland,3886300,73705,3319,4.5,0.011579137,,,,,,,,,,,,,,
7/12/2020,Massachusetts,4481410,111597,8325,7.46,0.016646547,,,,,,,,,,,,,,
7/12/2020,Michigan,6478925,76936,6317,8.21,0.012671855,,,,,,,,,,,,,,
7/12/2020,Minnesota,3734798,42319,1540,3.64,0.009746176,,,,,,,,,,,,,,
7/12/2020,Mississippi,1970989,36287,1249,3.44,0.017453167,,,,,,,,,,,,,,
7/12/2020,Missouri,4045501,29173,1113,3.82,0.009442588,,,,,,,,,,,,,,
7/12/2020,Montana,707699,1758,29,1.65,0.023314997,,,,,,,,,,,,,,
7/12/2020,Nebraska,1275127,21214,296,1.4,0.010979299,,,,,,,,,,,,,,
7/12/2020,Nevada,2039803,27745,593,2.14,0.010491209,,,,,,,,,,,,,,
7/12/2020,New Hampshire,571141,6054,391,6.46,0.113106921,,,,,,,,,,,,,,
7/12/2020,New Jersey,5656308,177245,15525,8.76,0.015487134,,,,,,,,,,,,,,
